秒开央视区,#genre#
CCTV-1,http://223.110.246.70/ott.js.chinamobile.com/PLTV-/4/224/3221227641/index.m3u8
CCTV-1,http://59.49.41.41/live.aishang.ctlcdn.com/00000110240001_1/playlist.m3u8?CONTENTID=00000110240001_1
CCTV-1,http://59.49.41.41/live.aishang.ctlcdn.com/00000110240127_1/playlist.m3u8?CONTENTID=00000110240127_1
CCTV-1,http://122.96.52.28/gitv_live/CCTV-1/CCTV-1.m3u8?p=GITV&area=SHJD
CCTV-1,http://223.110.245.164/ott.js.chinamobile.com/PLTV/3/224/3221227467/index.m3u8
CCTV-1,http://223.110.235.4/ott.js.chinamobile.com/PLTV/3/224/3221228075/index.m3u8
CCTV-1,http://223.110.235.9/ott.js.chinamobile.com/PLTV/3/224/3221228049/index.m3u8
CCTV-1,http://39.134.67.226/PLTV/88888888/224/3221225816/index.m3u8
CCTV-1,http://223.110.236.7/ott.js.chinamobile.com/PLTV/3/224/3221228049/index.m3u8
CCTV-1,http://223.110.246.70/ott.js.chinamobile.com/PLTV/4/224/3221227467/index.m3u8
CCTV-1,http://223.110.246.70/ott.js.chinamobile.com/PLTV/4/224/3221227634/index.m3u8
CCTV-1,http://223.110.235.5/ott.js.chinamobile.com/PLTV/3/224/3221228075/index.m3u8
CCTV-1,http://223.110.235.8/ott.js.chinamobile.com/PLTV/3/224/3221228049/index.m3u8
CCTV-1,http://223.110.236.6/ott.js.chinamobile.com/PLTV/3/224/3221228049/index.m3u8
CCTV-1,http://223.110.246.70/ott.js.chinamobile.com/PLTV/4/224/3221227641/index.m3u8
CCTV-1,http://223.110.245.145/ott.js.chinamobile.com/PLTV/3/224/3221227641/index.m3u8
CCTV-1,http://223.110.246.70/ott.js.chinamobile.com/PLTV/4/224/3221227725/index.m3u8
CCTV-1,http://223.110.245.145/ott.js.chinamobile.com/PLTV/3/224/3221227675/index.m3u8
CCTV-1,http://223.110.245.164/ott.js.chinamobile.com/PLTV/3/224/3221227675/index.m3u8
CCTV-1,http://223.110.245.164/ott.js.chinamobile.com/PLTV/3/224/3221227641/index.m3u8
CCTV-1,http://223.110.246.70/ott.js.chinamobile.com/PLTV/4/224/3221227675/index.m3u8
CCTV-1,http://129.226.106.4/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225490/index.m3u8
CCTV-1,http://117.148.179.155/PLTV/88888888/224/3221231468/index.m3u8
CCTV-1,http://117.148.179.155/PLTV/88888888/224/3221231471/index.m3u8
CCTV-1,http://39.134.115.163:8080/PLTV/88888910/224/3221225642/index.m3u8
CCTV-1,http://223.110.243.159/ott.js.chinamobile.com/TVOD/3/224/3221227725/index.m3u8
CCTV-1,http://223.110.245.154/ott.js.chinamobile.com/TVOD/3/224/3221227634/index.m3u8
CCTV-1,http://223.110.243.159/ott.js.chinamobile.com/PLTV/3/224/3221227725/index.m3u8
CCTV-1,http://111.40.196.9/PLTV/88888888/224/3221225513/index.m3u8
CCTV-1,http://111.40.196.9/PLTV/88888888/224/3221225769/index.m3u8
CCTV-1,http://111.40.196.9/PLTV/88888888/224/3221225727/index.m3u8
CCTV-1,http://111.40.196.9/PLTV/88888888/224/3221225548/index.m3u8
CCTV-1,http://39.135.138.58:18890/PLTV/88888888/224/3221225642/index.m3u8
CCTV-1,http://39.134.66.110/PLTV/88888888/224/3221225816/index.m3u8
CCTV-1,http://39.135.138.60:18890/TVOD/88888910/224/3221225618/index.m3u8
CCTV-1,http://39.135.138.60:18890/TVOD/88888910/224/3221225642/index.m3u8
CCTV-1,http://39.135.138.60:18890/TVOD/88888910/224/3221225762/index.m3u8
CCTV-1,http://39.135.138.60:18890/TVOD/88888910/224/3221225918/index.m3u8
CCTV-1,http://39.135.138.60:18890/TVOD/88888910/224/3221226230/index.m3u8
CCTV-1,http://39.135.138.60:18890/TVOD/88888910/224/3221226233/index.m3u8
CCTV-1,http://117.148.179.155/TVOD/88888888/224/3221231468/index.m3u8
CCTV-1,http://117.148.179.155/TVOD/88888888/224/3221231471/index.m3u8
CCTV-1,http://39.135.138.59:18890/PLTV/88888910/224/3221225630/index.m3u8
CCTV-1,http://39.134.116.30:8080/PLTV/88888910/224/3221225630/index.m3u8
CCTV-1,http://39.135.138.58:18890/PLTV/88888910/224/3221225762/index.m3u8
CCTV-1,http://39.134.116.30:8080/PLTV/88888910/224/3221225618/index.m3u8
CCTV-1,http://39.134.19.57/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225829/index.m3u8
CCTV-1,http://111.63.117.13:6060/030000001000/CCTV-1/CCTV-1.m3u8
CCTV-1,http://39.135.138.59:18890/PLTV/88888910/224/3221225642/index.m3u8
CCTV-1,http://39.135.138.58:18890/PLTV/88888910/224/3221225618/index.m3u8codeyj
CCTV-1,http://39.135.138.58:18890/PLTV/88888910/224/3221225762/index.m3u8codeyj
CCTV-1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV-1,http://39.134.19.28/PLTV/88888888/224/3221225684/index.m3u8
CCTV-1,http://39.134.116.30:8080/PLTV/88888910/224/3221225918/index.m3u8
CCTV-1,http://223.110.243.146/ott.js.chinamobile.com/PLTV/3/224/3221227634/index.m3u8
CCTV-1,http://39.134.116.30:8080/PLTV/88888910/224/3221225762/index.m3u8
CCTV-1,http://39.134.115.163:8080/PLTV/88888910/224/3221225618/index.m3u8
CCTV-1,http://223.110.245.154/ott.js.chinamobile.com/PLTV/3/224/3221227634/index.m3u8
CCTV-1,http://39.135.138.59:18890/PLTV/88888910/224/3221225918/index.m3u8
CCTV-1,http://39.134.18.69/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226457/1.m3u8
CCTV-1,http://39.135.138.58:18890/PLTV/88888910/224/3221225642/index.m3u8
CCTV-1,http://39.135.138.58:18890/PLTV/88888910/224/3221225618/index.m3u8
CCTV-1,http://39.134.19.57/PLTV/88888888/224/3221225684/index.m3u8
CCTV-1,http://39.135.138.60:18890/PLTV/88888910/224/3221225618/index.m3u8
CCTV-1,http://39.135.34.150:8080/000000001000/1000000001000021973/1.m3u8?xtkg
CCTV-1,http://183.207.249.15/PLTV/3/224/3221225530/index.m3u8
CCTV-1,http://111.20.33.93/TVOD/88888893/224/3221226231/index.m3u8
CCTV-2,http://39.134.116.4:18890/PLTV/88888888/224/3221225643/index.m3u8
CCTV-2,http://223.110.246.70/ott.js.chinamobile.com/PLTV-/4/224/3221227427/index.m3u8
CCTV-2,http://223.110.245.142/ott.js.chinamobile.com/PLTV/3/224/3221227708/index.m3u8
CCTV-2,http://39.134.19.28/PLTV/88888888/224/3221225831/index.m3u8
CCTV-2,http://39.134.116.30:8080/PLTV/88888910/224/3221225619/index.m3u8
CCTV-2,http://39.135.138.58:18890/PLTV/88888910/224/3221225643/index.m3u8codeyj
CCTV-2,http://39.134.19.57/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225831/index.m3u8
CCTV-2,http://39.135.138.59:18890/PLTV/88888910/224/3221225643/index.m3u8
CCTV-2,http://39.134.115.163:8080/PLTV/88888910/224/3221225619/index.m3u8?icpid=88888888&from=30&hms_devid=1452
CCTV-2,http://39.135.138.58:18890/PLTV/88888910/224/3221225643/index.m3u8
CCTV-2,http://39.134.115.163:8080/PLTV/88888910/224/3221225619/index.m3u8
CCTV-2,http://39.134.115.163:8080/PLTV/88888910/224/3221225643/index.m3u8
CCTV-2,http://ott.js.chinamobile.com/PLTV/3/224/3221227543/index.m3u8
CCTV-2,http://39.134.115.163:8080/PLTV/88888910/224/3221225643/index.m3u8?icpid=88888888&from=30&hms_devid=1452
CCTV-2,http://39.135.138.58:18890/PLTV/88888910/224/3221225619/index.m3u8
CCTV-2,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225619/index.m3u8
CCTV-2,http://39.134.19.57/PLTV/88888888/224/3221225831/index.m3u8
CCTV-2,http://39.135.138.59:18890/PLTV/88888910/224/3221225619/index.m3u8
CCTV-2,http://223.110.245.148/ott.js.chinamobile.com/PLTV/3/224/3221227543/index.m3u8
CCTV-2,http://59.49.41.41/live.aishang.ctlcdn.com/00000110240002_1/playlist.m3u8?CONTENTID=00000110240002_1
CCTV-2,http://59.49.41.41/live.aishang.ctlcdn.com/00000110240244_1/playlist.m3u8?CONTENTID=00000110240244_1
CCTV-2,http://223.110.236.10/ott.js.chinamobile.com/PLTV/3/224/3221227708/index.m3u8
CCTV-2,http://223.110.235.14/ott.js.chinamobile.com/PLTV/3/224/3221227696/index.m3u8
CCTV-2,http://223.110.235.36/ott.js.chinamobile.com/PLTV/3/224/3221228118/index.m3u8
CCTV-2,http://223.110.243.173/PLTV/3/224/3221227207/index.m3u8
CCTV-2,http://223.110.243.172/PLTV/3/224/3221227207/index.m3u8
CCTV-2,http://223.110.246.70/ott.js.chinamobile.com/PLTV/4/224/3221227696/index.m3u8
CCTV-2,http://223.110.246.70/ott.js.chinamobile.com/PLTV/4/224/3221227427/index.m3u8
CCTV-2,http://129.226.106.4/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225612/index.m3u8
CCTV-2,http://117.148.179.156/PLTV/88888888/224/3221232362/index.m3u8
CCTV-2,http://117.148.179.147/PLTV/88888888/224/3221231678/index.m3u8
CCTV-2,http://39.134.116.3:18890/PLTV/88888888/224/3221225619/index.m3u8
CCTV-2,http://39.135.138.60:18890/PLTV/88888910/224/3221225643/index.m3u8
CCTV-2,http://223.110.245.142/ott.js.chinamobile.com/TVOD/3/224/3221227708/index.m3u8
CCTV-2,http://223.110.245.164/ott.js.chinamobile.com/TVOD/3/224/3221227696/index.m3u8
CCTV-2,http://39.135.138.60:18890/TVOD/88888910/224/3221225619/index.m3u8
CCTV-2,http://39.135.138.60:18890/TVOD/88888910/224/3221225643/index.m3u8
CCTV-2,http://117.148.179.156/TVOD/88888888/224/3221232362/index.m3u8
CCTV-2,http://117.148.179.147/TVOD/88888888/224/3221231678/index.m3u8
CCTV-2,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221228094/index.m3u8
CCTV-2,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221227543/index.m3u8
CCTV-2,http://39.135.138.60:18890/PLTV/88888910/224/3221225619/index.m3u8
